 fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames
 40, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 29, 0, 727, 270, 3, 506
 40, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 708, 292, 0, 80
 40, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 46, 20, 707, 269, 4, 340
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 689, 310, 1, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 729, 271, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 176, 0, 890, 87, 23, 1089
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 151, 0, 875, 103, 22, 1083
 5, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 1, 703, 296, 0, 54
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 23, 18, 691, 289, 2, 205
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 722, 277, 1, 115
 60, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 24, 0, 714, 279, 7, 401
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 5, 0, 684, 315, 1, 151
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 686, 314, 0, 81
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 3, 704, 293, 0, 65
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 703, 297, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 203, 0, 883, 92, 25, 1094
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 72, 0, 765, 222, 13, 620
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 1, 709, 290, 0, 47
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 690, 310, 0, 96
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 5000, 143, 815, 3917, 155, 113, 203
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 5000, 258, 0, 4785, 29, 186, 416
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 142, 0, 835, 143, 22, 986
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 696, 304, 0, 80
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 0, 707, 293, 0, 122
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 2000, 259, 0, 1798, 138, 64, 685
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 2000, 258, 0, 1833, 98, 69, 850
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 2000, 240, 0, 1816, 122, 62, 602
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 2000, 215, 0, 1862, 63, 75, 458
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 2000, 19, 18, 1407, 574, 1, 126
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 0, 708, 291, 1, 135
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 692, 308, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 2000, 1, 0, 1370, 629, 1, 17
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 2, 0, 1050, 448, 2, 43
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 1, 0, 1060, 440, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 246, 0, 1360, 93, 47, 855
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 2, 0, 1038, 461, 1, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 227, 0, 1370, 88, 42, 576
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 2, 0, 1039, 460, 1, 82
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 2, 0, 1036, 462, 2, 50
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1500, 1, 0, 1029, 470, 1, 38
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 1, 0, 141, 59, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 1, 0, 144, 56, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 2, 0, 149, 51, 0, 143
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 1, 0, 143, 57, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 1, 0, 137, 63, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 4, 0, 150, 50, 0, 174
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 1, 0, 126, 74, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 2, 0, 135, 65, 0, 118
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 200, 1, 0, 145, 55, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 2, 0, 194, 106, 0, 96
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 2, 0, 217, 83, 0, 91
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 199, 101, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 209, 91, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 214, 86, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 193, 107, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 208, 92, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 205, 95, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 1, 0, 200, 100, 0, 80
 10, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 300, 2, 0, 224, 76, 0, 151
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 202, 0, 1025, 146, 29, 812
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 222, 0, 1070, 99, 31, 1067
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 175, 0, 1057, 126, 17, 1023
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 1, 0, 846, 354, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 14, 5, 860, 333, 2, 189
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 3, 0, 818, 381, 1, 131
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 2, 0, 853, 347, 0, 123
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 1, 0, 833, 366, 1, 28
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 4, 2, 846, 352, 0, 92
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 11, 10, 862, 327, 1, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 228, 0, 1087, 77, 36, 1118
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 1, 0, 834, 366, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 170, 0, 1021, 142, 37, 873
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 231, 0, 1086, 75, 39, 1108
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 204, 0, 1059, 109, 32, 772
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 187, 0, 1024, 144, 32, 704
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 179, 0, 1042, 126, 32, 677
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 10, 0, 851, 348, 1, 241
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 3, 0, 827, 373, 0, 133
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1200, 256, 0, 1068, 98, 34, 1419
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 85, 36, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 84, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 83, 38, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 91, 30, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 3, 0, 89, 32, 0, 155
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 76, 45, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 87, 34, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 2, 0, 78, 43, 0, 124
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 2, 0, 93, 28, 0, 120
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 84, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 86, 35, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 95, 26, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 84, 37, 0, 80
